Phone timestamp;RR-interval [ms]
08:07:54.087000;536
08:07:54.623000;530
08:07:55.153000;526
08:07:55.679000;521
08:07:56.200000;519
08:07:56.719000;519
08:07:57.238000;528
08:07:57.766000;539
08:07:58.305000;549
08:07:58.854000;552
08:07:59.406000;555
08:07:59.961000;556
08:08:00.517000;555
08:08:01.072000;562
08:08:01.634000;560
08:08:02.194000;552
08:08:02.746000;544
08:08:03.290000;537
08:08:03.827000;530
08:08:04.357000;524
08:08:04.881000;523
08:08:05.404000;526
08:08:05.930000;551
08:08:06.481000;567
08:08:07.048000;571
08:08:07.619000;573
08:08:08.192000;565
08:08:08.757000;556
08:08:09.313000;547
08:08:09.860000;537
08:08:10.397000;529
08:08:10.926000;522
08:08:11.448000;520
08:08:11.968000;520
08:08:12.488000;523
08:08:13.011000;526
08:08:13.537000;531
08:08:14.068000;533
08:08:14.601000;532
08:08:15.133000;533
08:08:15.666000;532
08:08:16.198000;533
08:08:16.731000;532
08:08:17.263000;528
08:08:17.791000;521
08:08:18.312000;517
08:08:18.829000;512
08:08:19.341000;513
08:08:19.854000;514
08:08:20.368000;513
08:08:20.881000;514
08:08:21.395000;513
08:08:21.908000;512
08:08:22.420000;509
08:08:22.929000;506
08:08:23.435000;505
08:08:23.940000;505
08:08:24.445000;504
08:08:24.949000;501
08:08:25.450000;497
08:08:25.947000;494
08:08:26.441000;493
08:08:26.934000;491
08:08:27.425000;488
08:08:27.913000;489
08:08:28.402000;491
08:08:28.893000;496
08:08:29.389000;506
08:08:29.895000;524
08:08:30.419000;539
08:08:30.958000;540
08:08:31.498000;538
08:08:32.036000;533
08:08:32.569000;526
08:08:33.095000;521
08:08:33.616000;519
08:08:34.135000;517
08:08:34.652000;515
08:08:35.167000;512
08:08:35.679000;509
08:08:36.188000;506
08:08:36.694000;502
08:08:37.196000;504
08:08:37.700000;512
08:08:38.212000;523
08:08:38.735000;541
08:08:39.276000;549
08:08:39.825000;553
08:08:40.378000;553
08:08:40.931000;558
08:08:41.489000;560
08:08:42.049000;560
08:08:42.609000;557
08:08:43.166000;550
08:08:43.716000;542
08:08:44.258000;530
08:08:44.788000;523
08:08:45.311000;515
08:08:45.826000;510
08:08:46.336000;510
08:08:46.846000;513
08:08:47.359000;512
08:08:47.871000;512
08:08:48.383000;513
08:08:48.896000;510
08:08:49.406000;507
08:08:49.913000;505
08:08:50.418000;500
08:08:50.918000;497
08:08:51.415000;494
08:08:51.909000;496
08:08:52.405000;500
08:08:52.905000;502
08:08:53.407000;503
08:08:53.910000;503
08:08:54.413000;503
08:08:54.916000;505
08:08:55.421000;508
08:08:55.929000;507
08:08:56.436000;507
08:08:56.943000;510
08:08:57.453000;510
08:08:57.963000;509
08:08:58.472000;507
08:08:58.979000;502
08:08:59.481000;501
08:08:59.982000;498
08:09:00.480000;498
08:09:00.978000;499
08:09:01.477000;499
08:09:01.976000;500
08:09:02.476000;502
08:09:02.978000;501
08:09:03.479000;499
08:09:03.978000;501
08:09:04.479000;500
08:09:04.979000;502
08:09:05.481000;508
08:09:05.989000;523
08:09:06.512000;536
08:09:07.048000;541
08:09:07.589000;542
08:09:08.131000;539
08:09:08.670000;537
08:09:09.207000;537
08:09:09.744000;531
08:09:10.275000;525
08:09:10.800000;525
08:09:11.325000;530
08:09:11.855000;533
08:09:12.388000;535
08:09:12.923000;535
08:09:13.458000;532
08:09:13.990000;527
08:09:14.517000;523
08:09:15.040000;518
08:09:15.558000;517
08:09:16.075000;514
08:09:16.589000;514
08:09:17.103000;513
08:09:17.616000;516
08:09:18.132000;517
08:09:18.649000;518
08:09:19.167000;520
08:09:19.687000;524
08:09:20.211000;529
08:09:20.740000;543
08:09:21.283000;545
08:09:21.828000;545
08:09:22.373000;540
08:09:22.913000;539
08:09:23.452000;532
08:09:23.984000;532
08:09:24.516000;537
08:09:25.053000;538
08:09:25.591000;543
08:09:26.134000;543
08:09:26.677000;544
08:09:27.221000;537
08:09:27.758000;536
08:09:28.294000;530
08:09:28.824000;525
08:09:29.349000;524
08:09:29.873000;520
08:09:30.393000;521
08:09:30.914000;521
08:09:31.435000;521
08:09:31.956000;519
08:09:32.475000;513
08:09:32.988000;509
08:09:33.497000;501
08:09:33.998000;497
08:09:34.495000;495
08:09:34.990000;495
08:09:35.485000;494
08:09:35.979000;494
08:09:36.473000;495
08:09:36.968000;498
08:09:37.466000;502
08:09:37.968000;504
08:09:38.472000;507
08:09:38.979000;506
08:09:39.485000;504
08:09:39.989000;502
08:09:40.491000;500
08:09:40.991000;497
08:09:41.488000;497
08:09:41.985000;505
08:09:42.490000;507
08:09:42.997000;509
08:09:43.506000;509
08:09:44.015000;504
08:09:44.519000;502
08:09:45.021000;497
08:09:45.518000;495
08:09:46.013000;491
08:09:46.504000;487
08:09:46.991000;485
08:09:47.476000;485
08:09:47.961000;488
08:09:48.449000;494
08:09:48.943000;507
08:09:49.450000;530
08:09:49.980000;539
08:09:50.519000;571
08:09:51.090000;604
08:09:51.694000;594
08:09:52.288000;572
08:09:52.860000;554
08:09:53.414000;543
08:09:53.957000;530
08:09:54.487000;515
08:09:55.002000;502
08:09:55.504000;493
08:09:55.997000;486
08:09:56.483000;482
08:09:56.965000;479
08:09:57.444000;475
08:09:57.919000;473
08:09:58.392000;468
08:09:58.860000;465
08:09:59.325000;461
08:09:59.786000;464
08:10:00.250000;464
08:10:00.714000;463
08:10:01.177000;464
08:10:01.641000;463
08:10:02.104000;463
08:10:02.567000;462
08:10:03.029000;463
08:10:03.492000;462
08:10:03.954000;461
08:10:04.415000;464
08:10:04.879000;465
08:10:05.344000;467
08:10:05.811000;467
08:10:06.278000;467
08:10:06.745000;467
08:10:07.212000;465
08:10:07.677000;465
08:10:08.142000;464
08:10:08.606000;464
08:10:09.070000;464
08:10:09.534000;464
08:10:09.998000;465
08:10:10.463000;465
08:10:10.928000;462
08:10:11.390000;462
08:10:11.852000;460
08:10:12.312000;460
08:10:12.772000;462
08:10:13.234000;464
08:10:13.698000;465
08:10:14.163000;465
08:10:14.628000;463
08:10:15.091000;463
08:10:15.554000;461
08:10:16.015000;460
08:10:16.475000;458
08:10:16.933000;455
08:10:17.388000;452
08:10:17.840000;455
08:10:18.295000;464
08:10:18.759000;467
08:10:19.226000;469
08:10:19.695000;473
08:10:20.168000;478
08:10:20.646000;478
08:10:21.124000;481
08:10:21.605000;479
08:10:22.084000;478
08:10:22.562000;475
08:10:23.037000;475
08:10:23.512000;470
08:10:23.982000;466
08:10:24.448000;465
08:10:24.913000;469
08:10:25.382000;471
08:10:25.853000;472
08:10:26.325000;473
08:10:26.798000;473
08:10:27.271000;472
08:10:27.743000;471
08:10:28.214000;467
08:10:28.681000;467
08:10:29.148000;465
08:10:29.613000;463
08:10:30.076000;464
08:10:30.540000;467
08:10:31.007000;474
08:10:31.481000;476
08:10:31.957000;476
08:10:32.433000;480
08:10:32.913000;479
08:10:33.392000;483
08:10:33.875000;482
08:10:34.357000;481
08:10:34.838000;480
08:10:35.318000;484
08:10:35.802000;486
08:10:36.288000;485
08:10:36.773000;486
08:10:37.259000;489
08:10:37.748000;487
08:10:38.235000;484
08:10:38.719000;484
08:10:39.203000;483
08:10:39.686000;482
08:10:40.168000;483
08:10:40.651000;484
08:10:41.135000;483
08:10:41.618000;482
08:10:42.100000;477
08:10:42.577000;488
08:10:43.065000;520
