Phone timestamp;RR-interval [ms]
09:20:06.149000;975
09:20:07.124000;1002
09:20:08.126000;987
09:20:09.113000;913
09:20:10.026000;907
09:20:10.933000;898
09:20:11.831000;893
09:20:12.724000;819
09:20:13.543000;800
09:20:14.343000;796
09:20:15.139000;923
09:20:16.062000;847
09:20:16.909000;834
09:20:17.743000;836
09:20:18.579000;858
09:20:19.437000;876
09:20:20.313000;896
09:20:21.209000;895
09:20:22.104000;1725
09:20:23.829000;855
09:20:24.684000;862
09:20:25.546000;846
09:20:26.392000;867
09:20:27.259000;888
09:20:28.147000;895
09:20:29.042000;876
09:20:29.918000;813
09:20:30.731000;837
09:20:31.568000;295
09:20:31.863000;562
09:20:32.425000;869
09:20:33.294000;822
09:20:34.116000;689
09:20:34.805000;893
09:20:35.698000;787
09:20:36.485000;754
09:20:37.239000;753
09:20:37.992000;534
09:20:38.526000;484
09:20:39.010000;2004
09:20:41.014000;772
09:20:41.786000;775
09:20:42.561000;779
09:20:43.340000;769
09:20:44.109000;772
09:20:44.881000;768
09:20:45.649000;771
09:20:46.420000;779
09:20:47.199000;775
09:20:47.974000;802
09:20:48.776000;824
09:20:49.600000;849
09:20:50.449000;852
09:20:51.301000;812
09:20:52.113000;803
09:20:52.916000;897
09:20:53.813000;882
09:20:54.695000;912
09:20:55.607000;920
09:20:56.527000;884
09:20:57.411000;871
09:20:58.282000;892
09:20:59.174000;898
09:21:00.072000;907
09:21:00.979000;919
09:21:01.898000;895
09:21:02.793000;911
09:21:03.704000;893
09:21:04.597000;902
09:21:05.499000;913
09:21:06.412000;917
09:21:07.329000;888
09:21:08.217000;857
09:21:09.074000;831
09:21:09.905000;859
09:21:10.764000;875
09:21:11.639000;890
09:21:12.529000;873
09:21:13.402000;856
09:21:14.258000;871
09:21:15.129000;887
09:21:16.016000;878
09:21:16.894000;866
09:21:17.760000;859
09:21:18.619000;843
09:21:19.462000;836
09:21:20.298000;809
09:21:21.107000;805
09:21:21.912000;781
09:21:22.693000;749
