Phone timestamp;RR-interval [ms]
12:32:43.211000;684
12:32:43.895000;683
12:32:44.578000;684
12:32:45.262000;671
12:32:45.933000;1337
12:32:47.270000;673
12:32:47.943000;677
12:32:48.620000;674
12:32:49.294000;676
12:32:49.970000;680
12:32:50.650000;687
12:32:51.337000;699
12:32:52.036000;696
12:32:52.732000;684
12:32:53.416000;685
12:32:54.101000;670
12:32:54.771000;658
12:32:55.429000;651
12:32:56.080000;652
12:32:56.732000;663
12:32:57.395000;686
12:32:58.081000;695
12:32:58.776000;688
12:32:59.464000;678
12:33:00.142000;661
12:33:00.803000;655
12:33:01.458000;646
12:33:02.104000;652
12:33:02.756000;654
12:33:03.410000;658
12:33:04.068000;670
12:33:04.738000;682
12:33:05.420000;725
12:33:06.145000;780
12:33:06.925000;817
12:33:07.742000;782
12:33:08.524000;760
12:33:09.284000;742
12:33:10.026000;711
12:33:10.737000;686
12:33:11.423000;670
12:33:12.093000;634
12:33:12.727000;626
12:33:13.353000;638
12:33:13.991000;622
12:33:14.613000;648
12:33:15.261000;666
12:33:15.927000;721
12:33:16.648000;763
12:33:17.411000;765
12:33:18.176000;723
12:33:18.899000;705
12:33:19.604000;724
12:33:20.328000;750
12:33:21.078000;750
12:33:21.828000;735
12:33:22.563000;725
12:33:23.288000;721
12:33:24.009000;674
12:33:24.683000;670
12:33:25.353000;639
12:33:25.992000;626
12:33:26.618000;620
12:33:27.238000;624
12:33:27.862000;629
12:33:28.491000;717
12:33:29.208000;719
12:33:29.927000;741
12:33:30.668000;704
12:33:31.372000;693
12:33:32.065000;655
12:33:32.720000;646
12:33:33.366000;641
12:33:34.007000;660
12:33:34.667000;652
12:33:35.319000;692
12:33:36.011000;674
12:33:36.685000;631
12:33:37.316000;641
12:33:37.957000;644
12:33:38.601000;627
12:33:39.228000;634
12:33:39.862000;655
12:33:40.517000;646
12:33:41.163000;606
12:33:41.769000;640
12:33:42.409000;642
12:33:43.051000;655
12:33:43.706000;665
12:33:44.371000;654
12:33:45.025000;654
12:33:45.679000;650
12:33:46.329000;646
12:33:46.975000;659
12:33:47.634000;678
12:33:48.312000;711
12:33:49.023000;744
12:33:49.767000;758
12:33:50.525000;789
12:33:51.314000;810
12:33:52.124000;779
12:33:52.903000;738
12:33:53.641000;709
12:33:54.350000;692
12:33:55.042000;680
12:33:55.722000;669
12:33:56.391000;631
12:33:57.022000;624
12:33:57.646000;646
12:33:58.292000;659
12:33:58.951000;715
12:33:59.666000;778
12:34:00.444000;752
12:34:01.196000;726
12:34:01.922000;704
12:34:02.626000;696
12:34:03.322000;690
12:34:04.012000;683
12:34:04.695000;649
12:34:05.344000;657
12:34:06.001000;632
12:34:06.633000;658
12:34:07.291000;672
12:34:07.963000;682
12:34:08.645000;704
12:34:09.349000;726
12:34:10.075000;748
12:34:10.823000;759
12:34:11.582000;727
12:34:12.309000;702
12:34:13.011000;695
12:34:13.706000;695
12:34:14.401000;690
12:34:15.091000;676
12:34:15.767000;670
12:34:16.437000;664
12:34:17.101000;670
12:34:17.771000;671
12:34:18.442000;681
12:34:19.123000;696
12:34:19.819000;749
12:34:20.568000;762
12:34:21.330000;720
12:34:22.050000;719
12:34:22.769000;714
12:34:23.483000;706
12:34:24.189000;663
12:34:24.852000;702
12:34:25.554000;689
12:34:26.243000;703
12:34:26.946000;713
12:34:27.659000;719
12:34:28.378000;686
12:34:29.064000;662
12:34:29.726000;636
12:34:30.362000;672
12:34:31.034000;711
12:34:31.745000;756
12:34:32.501000;815
12:34:33.316000;845
12:34:34.161000;848
12:34:35.009000;854
12:34:35.863000;835
12:34:36.698000;789
12:34:37.487000;780
12:34:38.267000;758
12:34:39.025000;739
12:34:39.764000;712
12:34:40.476000;688
12:34:41.164000;651
12:34:41.815000;646
12:34:42.461000;666
12:34:43.127000;688
12:34:43.815000;780
12:34:44.595000;852
12:34:45.447000;831
12:34:46.278000;816
12:34:47.094000;795
12:34:47.889000;798
12:34:48.687000;787
12:34:49.474000;752
12:34:50.226000;757
12:34:50.983000;744
12:34:51.727000;713
12:34:52.440000;695
12:34:53.135000;692
12:34:53.827000;707
12:34:54.534000;733
12:34:55.267000;764
12:34:56.031000;738
12:34:56.769000;706
12:34:57.475000;662
12:34:58.137000;647
12:34:58.784000;630
12:34:59.414000;621
12:35:00.035000;647
